"codice_1_livello","label_1_livello_en","def_1_livello_en","codice_2_livello","label_2_livello_en","def_2_livello_en","codice_3_livello","label_3_livello_en","def_3_livello_en"
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.1","Continuous settlement area","Also designated as continuous urban area or fabric. The continuous settlement area type is assigned when settlement structures and transport networks are dominating the surface area. At least 80% of the land surface in the ecosystem asset is covered by impermeable features such as buildings, roads and artificially surfaced areas.","1.1.1","Continuous residential area","Urban areas where buildings, roads and other impermeable surfaces occupy at least 80% of the land, and with continuous or nearly continuous buildings, which may be houses, flats or buildings occupied for only part of the day."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.1","Continuous settlement area","Also designated as continuous urban area or fabric. The continuous settlement area type is assigned when settlement structures and transport networks are dominating the surface area. At least 80% of the land surface in the ecosystem asset is covered by impermeable features such as buildings, roads and artificially surfaced areas.","1.1.2","Continuous commercial and industrial area","Areas with current industrial or commercial use including services (e.g., public libraries, government offices). Includes office blocks, factories, industrial units, large animal-rearing batteries and large farm units."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.2","Discontinuous settlement area","Also designated as discontinuous urban area or fabric. The discontinuous settlement area type is assigned when settlement structures and transport networks associated with vegetated areas and bare surfaces are present and occupy significant surfaces in a discontinuous spatial pattern. The impermeable features such as buildings, roads and artificially surfaced areas range from 30 to 80 % land coverage in the ecosystem asset.","1.2.1","Discontinuous residential area","Residential building areas in suburbs and villages where buildings and other impermeable surfaces occupy between 30% and 80% of the land area."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.2","Discontinuous settlement area","Also designated as discontinuous urban area or fabric. The discontinuous settlement area type is assigned when settlement structures and transport networks associated with vegetated areas and bare surfaces are present and occupy significant surfaces in a discontinuous spatial pattern. The impermeable features such as buildings, roads and artificially surfaced areas range from 30 to 80 % land coverage in the ecosystem asset.","1.2.2","Discontinuous commercial and industrial area","Commercial and industrial building areas in suburbs and villages where buildings and other impermeable surfaces occupy between 30% and 80% of the land area."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.3","Infrastructure","This includes land used for transport infrastructure such as roads, airports and ports, including associated areas (e.g. planted trees and bushes lines or spontaneous vegetation, such as grass verges), and artificial areas other than buildings that are used for commercial and industrial purposes including extraction sites, dump areas, and construction sites.","1.3.1","Road and rail networks and associated land","Motorways, railways, including associated installations (stations, platforms, embankments), including associated green areas (e.g. planted trees and bushes lines or spontaneous vegetation, such as grass verges), excluding dams and dykes."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.3","Infrastructure","This includes land used for transport infrastructure such as roads, airports and ports, including associated areas (e.g. planted trees and bushes lines or spontaneous vegetation, such as grass verges), and artificial areas other than buildings that are used for commercial and industrial purposes including extraction sites, dump areas, and construction sites.","1.3.2","Port areas","Infrastructure of port areas, including quays, dockyards and marinas, including associated green areas."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.3","Infrastructure","This includes land used for transport infrastructure such as roads, airports and ports, including associated areas (e.g. planted trees and bushes lines or spontaneous vegetation, such as grass verges), and artificial areas other than buildings that are used for commercial and industrial purposes including extraction sites, dump areas, and construction sites.","1.3.3","Airports","Airport installations: runways, buildings and associated land, including associated green areas."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.3","Infrastructure","This includes land used for transport infrastructure such as roads, airports and ports, including associated areas (e.g. planted trees and bushes lines or spontaneous vegetation, such as grass verges), and artificial areas other than buildings that are used for commercial and industrial purposes including extraction sites, dump areas, and construction sites.","1.3.4","Other infrastructure","Other infrastructure (e.g. water purification plants, energy plants, transforming stations), including associated green areas."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.3","Infrastructure","This includes land used for transport infrastructure such as roads, airports and ports, including associated areas (e.g. planted trees and bushes lines or spontaneous vegetation, such as grass verges), and artificial areas other than buildings that are used for commercial and industrial purposes including extraction sites, dump areas, and construction sites.","1.3.5","Mineral extraction sites","Open-pit extraction sites of construction materials (sandpits, quarries) or minerals (open-cast mines). Includes flooded mining pits."
"1","Settlements and other artificial areas","This class represents human habitats, i.e. ecosystems that are strongly modified by people and that are characterised by buildings and other man-made structures. It includes dispersed and dense residential, industrial, commercial, and transport areas, urban green areas, mineral and gravel extraction sites, dumping and construction sites. The class excludes peat extraction sites (classified under ‘Inland wetlands’). The class has also been labelled ‘urban ecosystems’.","1.3","Infrastructure","This includes land used for transport infrastructure such as roads, airports and ports, including associated areas (e.g. planted trees and bushes lines or spontaneous vegetation, such as grass verges), and artificial areas other than buildings that are used for commercial and industrial purposes including extraction sites, dump areas, and construction sites.","1.3.6","Dump areas","Landfill or mine dump sites, industrial or public."
